timestamp,open,high,low,close,volume
2023-09-15,1626.54,1654.0,1611.59,1641.21,41952.42792801
2023-09-16,1641.21,1652.26,1631.43,1634.82,22603.96463152
2023-09-17,1634.82,1634.93,1611.92,1622.4,21401.83579729
2023-09-18,1622.4,1669.02,1605.0,1636.72,65746.53552442
2023-09-19,1636.83,1660.76,1626.93,1643.3,49544.91839676
2023-09-20,1643.3,1649.2,1605.0,1622.35,53433.27476298
2023-09-21,1622.35,1625.33,1567.83,1584.13,56561.93868791
2023-09-22,1584.1,1602.62,1576.98,1592.98,30317.77140859
2023-09-23,1592.99,1598.15,1587.84,1593.69,9861.78027326
2023-09-24,1593.7,1601.07,1570.0,1580.69,27411.65165572
2023-09-25,1580.7,1597.59,1563.04,1588.31,54089.42063678
2023-09-26,1588.31,1599.54,1580.37,1593.83,33462.30350779
2023-09-27,1593.84,1634.02,1583.58,1598.78,66713.35799717
2023-09-28,1598.78,1667.99,1598.13,1652.85,88404.63170988
2023-09-29,1652.86,1687.96,1648.34,1667.41,61405.50327965
2023-09-30,1667.41,1694.09,1666.39,1670.88,23731.9508353
2023-10-01,1670.89,1755.4,1668.45,1733.76,49648.07843616
2023-10-02,1733.77,1743.77,1636.36,1662.54,126407.04948069
2023-10-03,1662.55,1670.43,1643.69,1656.84,80769.03967561
2023-10-04,1656.85,1657.67,1625.0,1646.71,98977.04330431
2023-10-05,1646.62,1655.25,1606.57,1611.72,90965.12659304
2023-10-06,1612.01,1661.72,1611.58,1645.04,83241.50111437
2023-10-07,1645.05,1647.66,1630.15,1633.79,19682.23249524
2023-10-08,1633.79,1641.56,1616.33,1632.92,35649.52328054
2023-10-09,1632.92,1636.03,1545.53,1580.06,89567.86839587
2023-10-10,1580.11,1594.8,1550.34,1567.65,80286.65485061
2023-10-11,1567.66,1578.4,1544.49,1567.02,95286.43557671
2023-10-12,1567.03,1568.46,1521.0,1539.77,64478.6366253
2023-10-13,1539.78,1575.39,1538.09,1552.23,60645.51813494
2023-10-14,1552.24,1561.69,1544.93,1554.83,21123.72912191
2023-10-15,1554.84,1566.77,1548.77,1557.67,27688.10819443
2023-10-16,1557.67,1641.06,1555.06,1599.42,111840.26705499
2023-10-17,1599.42,1600.56,1551.0,1564.68,76057.01917072
2023-10-18,1564.69,1584.99,1555.89,1563.45,72002.24213791
2023-10-19,1563.46,1574.37,1541.58,1566.85,72638.53243735
2023-10-20,1566.86,1630.09,1561.3,1603.88,101070.07458924
2023-10-21,1603.88,1644.03,1592.44,1628.81,58167.7854685
2023-10-22,1628.81,1667.83,1620.99,1663.59,78903.42644867
2023-10-23,1663.58,1800.78,1657.19,1766.27,220569.04419423
2023-10-24,1766.28,1854.54,1756.42,1785.05,270934.97741248
2023-10-25,1784.89,1818.0,1760.23,1787.09,140663.79215387
2023-10-26,1787.1,1865.79,1761.65,1803.41,152791.53486611
2023-10-27,1803.41,1804.04,1745.92,1779.18,91698.5988921
2023-10-28,1779.18,1803.42,1770.0,1776.16,32304.37221262
