timestamp,open,high,low,close,volume
2023-09-15,26524.5,26880.9,26217.6,26605.1,5991.12524661
2023-09-16,26604.1,26773.4,26448.8,26562.0,3411.55274469
2023-09-17,26562.0,26618.4,26406.6,26527.5,2197.27780341
2023-09-18,26527.5,27410.3,26375.2,26764.0,8116.59298551
2023-09-19,26760.4,27482.6,26668.9,27208.4,8442.16120804
2023-09-20,27208.5,27390.0,26801.0,27122.1,7995.67453799
2023-09-21,27122.2,27157.1,26377.7,26568.3,6814.11578811
2023-09-22,26568.4,26737.9,26472.5,26579.9,3604.6312263
2023-09-23,26579.9,26631.8,26514.6,26574.9,964.41433393
2023-09-24,26574.9,26733.1,26127.2,26248.3,2724.98275958
2023-09-25,26247.2,26445.7,25994.7,26305.5,5884.46753383
2023-09-26,26305.6,26395.2,26092.2,26222.2,3696.50064316
2023-09-27,26222.2,26846.3,26111.2,26371.6,5954.51359506
2023-09-28,26371.7,27306.0,26344.8,27017.8,8096.01456371
2023-09-29,27019.7,27240.0,26669.5,26912.6,5209.33541033
2023-09-30,26912.6,27088.8,26892.4,26965.2,2955.26268348
2023-10-01,26965.2,28111.4,26958.8,27991.0,4505.5387302
2023-10-02,27993.0,28574.4,27287.9,27503.4,11993.85119935
2023-10-03,27502.1,27669.1,27166.8,27427.5,5829.58395144
2023-10-04,27427.6,27839.8,27200.0,27783.9,6065.22169463
2023-10-05,27780.9,28117.4,27355.5,27411.7,7071.62102646
2023-10-06,27411.7,28315.0,27180.1,27930.9,8107.33806136
2023-10-07,27931.0,28025.9,27845.2,27955.7,2145.78948752
2023-10-08,27955.7,28091.0,27690.3,27919.3,3069.66996002
2023-10-09,27919.3,27987.8,27266.6,27589.3,5492.56930402
2023-10-10,27589.3,27730.6,27300.6,27388.3,4001.18040596
2023-10-11,27388.3,27475.0,26538.0,26876.9,5934.02932684
2023-10-12,26876.5,26941.3,26555.9,26761.6,3499.60220206
2023-10-13,26761.7,27127.0,26685.2,26865.9,4178.55932366
2023-10-14,26866.0,26989.2,26788.9,26855.4,1261.20143312
2023-10-15,26855.5,27292.4,26809.8,27154.8,2539.24780757
2023-10-16,27153.0,30144.5,27114.6,28501.8,14903.26590641
2023-10-17,28501.9,28608.4,28071.9,28399.0,7432.46585473
2023-10-18,28399.0,28984.2,28140.1,28320.8,6174.26464747
2023-10-19,28320.9,28916.6,28110.0,28713.1,7628.74923851
2023-10-20,28713.5,30232.0,28583.2,29669.1,11044.02094224
2023-10-21,29669.1,30380.5,29466.5,29910.2,5372.43901543
2023-10-22,29910.2,30245.0,29640.0,29991.5,4482.46595258
2023-10-23,29991.5,35427.4,29881.6,33137.8,27500.39235302
2023-10-24,33135.3,35328.0,32956.4,33923.9,34635.60794487
2023-10-25,33924.1,35150.0,33689.1,34496.0,13157.22559299
2023-10-26,34496.1,34827.8,33746.3,34151.6,10417.63168972
2023-10-27,34151.7,34244.0,33381.5,33891.0,7234.0216627
2023-10-28,33891.0,34509.3,33861.8,34080.9,2871.27332139
2023-10-29,34081.0,34748.3,33933.1,34525.6,3931.37965429
2023-10-30,34525.7,34849.9,34060.3,34475.2,5933.67729266
2023-10-31,34477.5,34722.0,34035.7,34640.2,6494.15694127
2023-11-01,34640.2,35631.9,34081.4,35418.1,9168.64628179
2023-11-02,35418.1,35983.4,34303.8,34938.1,8225.11308727
2023-11-03,34938.1,34939.4,34117.0,34708.3,7273.43941848
2023-11-04,34708.3,35254.0,34585.0,35061.2,3617.02960036
2023-11-05,35061.3,35389.1,34414.9,35011.9,5376.34902657
2023-11-06,35011.9,35274.2,34730.4,35043.8,5413.5074187
2023-11-07,35044.6,35887.9,34523.1,35400.1,7922.95645324
2023-11-08,35400.2,36110.4,35100.0,35626.7,6504.08015737
2023-11-09,35623.0,37996.0,35539.8,36704.9,14147.6838792
2023-11-10,36707.1,37539.8,36317.8,37298.1,5784.91553033
2023-11-11,37298.1,37394.2,36650.4,37133.8,2848.53625519
2023-11-12,37133.9,37218.7,36730.3,37067.7,2211.2460516
2023-11-13,37067.7,37421.4,36340.4,36467.0,5289.89612989
2023-11-14,36467.0,36746.9,34655.1,35548.2,7048.05090794
2023-11-15,35547.3,37958.9,35363.4,37856.5,7568.17541405
2023-11-16,37856.6,37927.7,35500.0,36166.8,9076.62220694
2023-11-17,36166.8,36831.8,35865.2,36609.8,7707.77670015
2023-11-18,36609.9,36843.5,36185.3,36571.7,3359.03724944
2023-11-19,36571.8,37499.8,36381.9,37355.9,3826.32693393
2023-11-20,37361.2,37754.0,36700.0,37446.3,8148.08337886
2023-11-21,37446.3,37645.4,35737.3,35746.7,12023.72917003
2023-11-22,35743.4,37864.8,35634.7,37410.2,8612.29446315
2023-11-23,37410.3,37643.6,36874.8,37289.9,5055.00514028
2023-11-24,37292.0,38416.3,37257.6,37716.3,7644.85050936
2023-11-25,37716.3,37885.6,37589.1,37785.6,1935.61807954
2023-11-26,37785.6,37811.0,37136.3,37444.8,3932.88307769
2023-11-27,37444.8,37559.7,36716.6,37242.9,7450.75684544
2023-11-28,37242.9,38377.7,36875.1,37815.4,7397.92175323
